ym,event_id
2019-06-01,15
2019-07-01,166
2019-08-01,250
2019-09-01,191
2019-10-01,431
2019-11-01,443
2019-12-01,617
2020-01-01,334
2020-02-01,201
2020-03-01,92
2020-04-01,16
2020-05-01,117
